"Field","Name","Format","Description","Values","Cleaning","Derivations","Notes"
"AEPATGROUP","Patient Group","String(2)","A coded classification to identify the reason for an Accident and Emergency Episode.","10 = Road traffic accident 
20 = Assault 
30 = Deliberate self-harm 
40 = Sports injury 
50 = Firework injury 
60 = Other accident 
70 = Brought in dead 
80 = Other than above 
99 = Not known","RULE_0096",NA,NA
"AEREFSOURCE","Source of Referral For A&E","String(2)","The source of referral for each A&E episode.","00 = General medical practitioner 
01 = Self referral 
02 = Local authority social services 
03 = Emergency services 
04 = Work 
05 = Educational establishment 
06 = Police 
07 = Health care provider: same or other 
08 = Other 
92 = General dental practitioner 
93 = Community dental service 
99 = Not known","RULE_0098",NA,NA
"AESTAFFCODE","A&E Staff Member Code","String(3)","A local code used to identify the person principally responsible for the care of a patient during an A&E attendance. This will mainly be the person who took responsibility for the discharge of the patient.","3an = Local code to identify the person principally responsible for the care of a patient",NA,NA,NA
"APPDATE","Net Applicable Date","Date(YYYY-MM-DD)","A system field that represents the date of the update event that resulted in the need to exchange the record with the Secondary Uses Service (SUS) database. This field is present on records submitted via the Net Change Protocol method only, and is used by SUS to process records in the correct sequence.","YYYY-MM-DD = Net applicable date",NA,NA,NA
"ARRIVALAGE","Age On Arrival","Number","The patient's age, in completed years, on the arrival date. This field is derived in HES from the arrival date (ARRIVALDATE) and the date of birth (DOB).

For patients under 1 year old, special codes in the range 7001 to 7007 apply.

","nnn = Age in whole years from 1 - 119 
120 = 120 years or more 
7001 = Less than 1 day
7002 = 1 to 6 days 
7003 = 7 to 28 days 
7004 = 29 to 90 days (under 3 months) 
7005 = 91 to 181 days (approximately 3 months to under 6 months) 
7006 = 182 to 272 days (approximately 6 months to under 9 months) 
7007 = 273 to <1 year (approximately 9 months to under 1 year) 
null = Not known",NA,"RULE_0290A",NA
"ARRIVALAGE_CALC","Age On Arrival (Decimalised)","Number","The patient's age, in completed years, on the arrival date (ARRIVALAGE) with decimalised values for babies.","nnn.nnn = Age in whole years from 1.000 to 119.000
120.000 = 120 years or more
0.002 = Less than 1 day
0.010 = 1 to 6 days
0.048 = 7 to 28 days
0.167 = 29 to 90 days (under 3 months)
0.375 = 91 to 181 days (approximately 3 months to under 6 months)
0.625 = 182 to 272 days (approximately 6 months to under 9 months)
0.875 = 273 to <1 year (approximately 9 months to 1 year)
null = Not known",NA,"RULE_8002",NA
"ARRIVALDATE","Arrival Date","Date(YYYY-MM-DD)","The arrival date of a patient in the A&E department.","YYYY-MM-DD = The arrival date",NA,NA,NA
"ARRIVALTIME","Arrival Time","Time(HH24:MI:ss)","The time the patient self-presented at the A&E Department or arrived in an ambulance at the A&E Department.","hhmm = The time that the patient arrived in the A&E department",NA,NA,NA
"AT_GP_PRACTICE","Area Team of GP Practice","String(3)","The Area Team (AT) where the patient’s GP practice is registered. It is derived from the GP practice code (GPPRAC)

In 2015 following an NHS reorganisation, Area Teams were replaced by NHS England regions. This field continued to be derived after this date as a ‘frozen’ geography. The NHS England region of the GP practice can be found in the field NER_GP_PRACTICE.","ann = Area Team of patient’s GP practice
Y = Unknown",NA,"RULE_1126",NA
"AT_RESIDENCE","Area Team of Residence","String(3)","The Area Team (AT) where the patient lives. It is derived from the CCG of residence (CCG_RESIDENCE).

In 2015 following an NHS reorganisation, Area Teams were replaced by NHS England regions. This field continued to be derived after this date as a ‘frozen’ geography. The NHS region of residence can be found in the field NER_RESIDENCE.","ann = Area Team of residence
S = Scotland
U = England (not otherwise specified)
W = Wales
X = Foreign
Y = Not known
Z = Northern Ireland",NA,"RULE_1201",NA
"AT_TREATMENT","Area Team of Treatment","String(3)","The Area Team (AT) where the patient was treated. It is derived from the CCG of treatment (CCG_TREATMENT).

In 2015 following an NHS reorganisation, Area Teams were replaced by NHS England regions. This field continued to be derived after this date as a ‘frozen’ geography. The NHS England region of treatment can be found in the field NER_TREATMENT.","ann = Area Team of treatment
Y = Unknown
",NA,"RULE_1147,
RULE_1147b",NA
"BOOKREFNO","Unique Booking Reference Number","Number","The booking reference number assigned by the Choose and Book system when a patient accepts an appointment date, regardless of whether they subsequently attend or cancel the appointment. Each booking reference number is unique. This field is unavailable for use, and is null in all years.

Either this field or the patient pathway identifier (PATPATHID) should be populated if the record relates to a referral to treatment period. BOOKREFNO will only be populated where the Choose and Book system was used, otherwise PATPATHID will be populated.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field. A pseudonymised version of this field can be found in BOOKREFNOPS.","12n = Unique booking reference number",NA,NA,NA
"BOOKREFNOPS","Unique Booking Reference Number - Pseudonymised","String(40)","A pseudonymised version of BOOKREFNO",NA,NA,NA,NA
"CANNET","Cancer Network Area of Residence","String(3)","The former cancer network area that the patients postcode falls within, derived in HES from the patient's postcode (HOMEADD).

Cancer networks were abolished in 2013. This field continued to be derived after this date as a 'frozen' geography.","N01-N98 = Cancer Registry in England/Wales/Isle of Man 
Z99 = Scotland/Northern Ireland/Channel Islands (pseudo) 
Null = No information available",NA,"RULE_1200",NA
"CANREG","Cancer Registry Area of Residence","String(5)","The cancer registry area that the patient's postcode falls within, derived in HES from the patient's postcode (HOMEADD).","Y0201-Y1701 = Cancer Registry in England/Wales
Z9999 = Scotland/Northern Ireland/Channel Islands/Isle of Man (pseudo)
Null = No information available",NA,"RULE_1200",NA
"CARERSI","Carer Support Indicator","String(2)","An indication of whether carer support is available to the patient at their normal residence.

This does not include any paid support or support from a voluntary organisation, unless the patient is normally resident in a care home and care is provided by a care worker.","01 = Yes - carer support is available
02 = No - carer support is not available
99 = Not known","RULE_0400",NA,NA
"CCG_GP_PRACTICE","Clinical Commissioning Group of GP Practice","String(5)","The Clinical Commissioning Group (CCG) area where the patient’s GP practice is registered. It is derived from the GP practice code (GGPRAC).","3an or 5an = CCG area of patient’s GP practice
59999 = Unknown",NA,"RULE_1126A,
RULE_1126B",NA
"CCG_RESIDENCE","Clinical Commissioning Group of Residence","String(3)","The Clinical Commissioning Group (CCG) area where the patient lives, derived in HES from the patient's postcode (HOMEADD).","3an or 5an = CCG of patient’s residence
59898 = Not applicable
59999 = Unknown",NA,"RULE_1200",NA
"CCG_RESPONSIBILITY","Clinical Commissioning Group of Responsibility","String(5)","The code for the most suitable Clinical Commissioning Group (CCG) of responsibility. It is derived firstly from the CCG of the patient’s GP practice but if not available the CCG of residence then the CCG of treatment is used.","3an or 5an = CCG of responsibility
59999 = Unknown",NA,"RULE_1205",NA
"CCG_RESPONSIBILITY_ORIGIN","Origin of CCG_RESPONSIBILITY","String(1)","A code indicating the basis on which the CCG of responsibility (CCG_RESPONSIBILITY) was assigned.","1 = Derived from GPPRAC
2 = Derived from HOMEADD
3 = Derived from postcode of SITETRET 
4 = Derived from postcode of provider
9 = Unknown",NA,"RULE_1205",NA
"CCG_TREATMENT","Clinical Commissioning Group of Treatment","String(5)","The Clinical Commissioning Group (CCG) area where the patient was treated. It is derived from the postcode of the site of treatment (SITETRET) firstly, but where not available the postcode of the provider (PROCODET) is used.","3an or 5an = CCG of treatment
59999 = Unknown",NA,"RULE_1146",NA
"CCG_TREATMENT_ORIGIN","Origin of CCG_TREATMENT","String(1)","A code indicating the basis on which the CCG of treatment (CCG_TREATMENT) was assigned.","1 = Derived from postcode of SITETRET 
2 = Derived from postcode of PROCODET
9 = Unknown",NA,"RULE_1146",NA
"CDSEXTDATE","CDS Extract Date","Date(YYYY-MM-DD)","A system field that represents the date of the update event that resulted in the need to exchange the data with the Secondary Uses Service (SUS) database. This field is present on records submitted via the Bulk Update Protocol method only, and is used to apply records correctly to SUS.","YYYY-MM-DD = CDS extract date",NA,NA,NA
"CDSUNIQUEID","CDS Unique Identifier","String(35)","A CDS data element providing a unique identity for the life-time of a record carried in a CDS message. This field is unavailable for use, and is null in all years.

This is a system field used to apply records correctly to SUS that have been submitted via the Net Change Protocol method. It is a mandatory data item on records submitted by Net Change Protocol, and strongly recommended for use on records submitted by Bulk Update Protocol.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field","35an = CDS unique identifier",NA,NA,NA
"CDSVERPROTID","CDS Protocol Identifier","String(3)","A system field used to apply records correctly to SUS. It represents the mechanism that was used to submit the record to SUS (bulk or net).","010 = Net change update mechanism (this is the recommended protocol)
020 = Bulk replacement update mechanism",NA,NA,NA
"CONCLDUR","Duration to Conclusion","Number","The time (expressed as a whole number of minutes) between the patient’s arrival and conclusion of their attendance or treatment (whichever is later).","4n = The time (in whole minutes) between the patient’s arrival and the conclusion of their attendance or treatment (whichever is later)",NA,"RULE_0270",NA
"CONCLTIME","Conclusion Time","Time(HH24:MI:ss)","The time that a patient's A&E attendance ends or when treatment in A&E is completed (whichever is the later).","hhmm = The time that a patient’s A&E attendance end or treatment is completed 
3000 = Invalid time submitted
4000 = Null time submitted
","RULE_0082",NA,NA
"CR_GP_PRACTICE","Commissioning Region of GP Practice","String(3)","The Commissioning Region (CR) where the patient’s GP practice is registered. Where not available, the code for the Area Team is used. This field is derived from the GP practice code (GPPRAC).","ann = Commissioning Region of patient’s GP practice
Y = Unknown",NA,"Rule1126",NA
"CR_RESIDENCE","Commissioning Region of Residence","String(3)","The Commissioning Region (CR) where the patient lives. Where not available, the code for the Area Team is used. This field is derived from the CCG_RESIDENCE field.","ann = Commissioning Region of residence
Y = Unknown",NA,"RULE_1201",NA
"CR_TREATMENT","Commissioning Region of Treatment","String(3)","The Commissioning Region (CR) where the patient was treated. Where not available, the code for the Area Team is used. This field is derived from the CCG_TREATMENT field.","ann = Commissioning Region of treatment
Y = Unknown",NA,"RULE_1147",NA
"CSNUM","Commissioning Serial Number","String(6)","The commissioning serial number (used in HES to identify OATs - Out of Area Treatments). This is a number used to uniquely identify a NHS service agreement by an organisation acting as commissioner of patient care services.","6an = Commissioning serial number",NA,NA,NA
"CURRWARD","Current Electoral Ward","String(4)","For activity from 2011-12 onwards, HES users are advised to use the field CURRWARD_ONS instead of CURRWARD. 

The pre-2011 electoral ward area of the patient, derived in HES from the patient's postcode (HOMEADD). Note that this field uses old-style geographical codes that were superseded in 2011 and are now no longer supported by ONS - the new style code can be found in the field CURRWARD_ONS. 

Because identical CURRWARD codes are allocated to many local authority districts, CURRWARD is meaningless in isolation. This field should be used in conjunction with RESLADST (local authority district) to produce a unique value indicating the ward within a given district where the patient resided.","2a = Electoral ward
Y = Not known",NA,"RULE_1200",NA
"CURRWARD_ONS","Current Electoral Ward (ONS)","String(9)","The current electoral ward of the patient, derived in HES from the patient's postcode (HOMEADD).","Ennnnnnnn = England
Wnnnnnnnn = Wales
Snnnnnnnn = Scotland
Northern Ireland start with 95 followed by a letter, then space, then 2 digits (e.g. 95B 24)

E99999999 = England (not otherwise stated)
W99999999 = Wales (not otherwise stated)
S99999999 = Scotland (not otherwise stated)
N99999999 = Northern Ireland (not otherwise stated)
L99999999 = Channel Islands
M99999999 = Isle of Man
Y = Not known",NA,"RULE_1200",NA
"DEPDUR","Duration to Departure","Number","The time (expressed as a whole number of minutes) between the patient’s arrival, and the time the A&E attendance has concluded and the department is no longer responsible for the care of the patient.","4n = The time (in minutes) between the patient’s arrival and when the A&E attendance has concluded",NA,"RULE_0274",NA
"DEPTIME","Departure Time","Time(HH24:MI:ss)","A&E departure time is the time that a patient leaves the A&E department after an A&E attendance has concluded and the department is no longer responsible for the care of the patient. Temporary absences from the A&E department are ignored. For example, during an A&E attendance the patient may leave the department for a short time for an X-ray, but they remain under the care of an A&E consultant. Note that A&E Attendance Conclusion time and A&E Departure times will be different for patients who wait for transport or who are lodged patients prior to admission to a ward.","hhmm = The time that a patient leaves the A&E department
3000 = Invalid time submitted
4000 = Null time submitted","RULE_0073",NA,NA
"DIAG_NN","Diagnosis Code","String(6)","The A&E diagnosis code recorded for an A&E attendance. The CDS allows an unlimited number of diagnoses to be submitted, however, only the first 12 diagnoses are available within HES. The A&E diagnosis is a six character code made up of, diagnosis condition (n2), sub-analysis (n1), anatomical area (n2) and anatomical side (an1). Only certain diagnoses contain a sub-analysis.","6an = A&E diagnosis classification code",NA,NA,NA
"DIAG2_NN","Diagnosis Code - 2 Character","String(2)","The A&E diagnosis description at 2-character level covering the diagnosis condition. This field contains a description based on the diagnosis condition (first 2 characters) of the A&E diagnosis and only displays a code where it is unclassifiable against the A&E Diagnosis classification.","01 = Laceration
02 = Contusion/abrasion
03 = Soft tissue inflammation
04 = Head injury
05 = Dislocation/fracture/joint injury/amputation
06 = Sprain/ligament injury
07 = Muscle/tendon injury
08 = Nerve injury
09 = Vascular injury
10 = Burns and scalds
11 = Electric shock
12 = Foreign body
13 = Bites/stings
14 = Poisoning (inc overdose)
15 = Near drowning
16 = Visceral injury
17 = Infectious disease
18 = Local infection
19 = Septicaemia
20 = Cardiac conditions
21 = Cerebro-vascular conditions
22 = Other vascular conditions
23 = Haematological conditions
24 = Central nervous system conditions (exc stroke)
25 = Respiratory conditions
26 = Gastrointestinal conditions
27 = Urological conditions (inc cystitis)
28 = Obstetric conditions
29 = Gynaecological conditions
30 = Diabetes and other endocrinological conditions
31 = Dermatological conditions
32 = Allergy (inc anaphylaxis)
33 = Facio-maxillary conditions
34 = ENT conditions
35 = Psychiatric conditions
36 = Ophthalmological  conditions
37 = Social problems (inc chronic alcoholism and homelessness)
38 = Diagnosis not classifiable
39 = Nothing abnormal detected
",NA,NA,NA
"DIAG3_NN","Diagnosis Code - 3 Character","String(3)","The A&E diagnosis description at 3-character level, covering the diagnosis condition and the sub-analysis. Note that if no sub-analysis has been provided or is not applicable then the 2-character description will be displayed if available. This field contains a description based on the diagnosis condition and sub-analysis (first 3 characters where applicable) and only displays a code where it is unclassifiable against the A&E Diagnosis classification.","01 = Laceration
021 = Contusion
022 = Abrasion
03 = Soft tissue inflammation
041 = Concussion
042 = Other head injury
051 = Dislocation
052 = Open fracture
053 = Closed fracture
054 = Joint injury
055 = Amputation
06 = Sprain/ligament injury
07 = Muscle/tendon injury
08 = Nerve injury
09 = Vascular injury
101 = Burns and scalds - electric
102 = Burns and scalds - thermal
103 = Burns and scalds - chemical
104 = Burns and scalds - radiation
11 = Electric shock
12 = Foreign body
13 = Bites/stings
141 = Poisoning (inc overdose) - prescriptive drugs
142 = Poisoning (inc overdose) - proprietary drugs
143 = Poisoning (inc overdose) - controlled drugs
144 = Poisoning (inc overdose) - other, inc alcohol
15 = Near drowning
16 = Visceral injury
171 = Infectious disease - notifiable
172 = infectious disease - non-notifiable
18 = Local infection
19 = Septicaemia
201 = Cardiac conditions - myocardial ischaemia & infarction
202 = Cardiac conditions - other non-ischaemia
21 = Cerebro-vascular conditions
22 = Other vascular conditions
23 = Haematological conditions
241 = Central nervous system conditions - epilepsy
242 = Central nervous system conditions - other non-epilepsy
251 = Respiratory conditions - bronchial asthma
252 = Respiratory conditions - other non-asthma
261 = Gastrointestinal conditions - haemorrhage
262 = Gastrointestinal conditions - acute abdominal pain
263 = Gastrointestinal conditions - other
27 = Urological conditions (inc cystitis)
28 = Obstetric conditions
29 = Gynaecological conditions
301 = Diabetes and other endocrinological conditions - diabetic
302 = Diabetes and other endocrinological conditions - other non-diabetic
31 = Dermatological conditions
32 = Allergy (inc anaphylaxis)
33 = Facio-maxillary conditions
34 = ENT conditions
35 = Psychiatric conditions
36 = Ophthalmological  conditions
37 = Social problems (inc chronic alcoholism and homelessness)
38 = Diagnosis not classifiable
39 = Nothing abnormal detected",NA,NA,NA
"DIAGA_NN","Diagnosis Code - Anatomical Area","String(2)","The A&E diagnosis anatomical area (a classification of parts of the human body). This field contains a description of the diagnosis anatomical area.","01 = Brain
02 = Head
03 = Face
04 = Eye
05 = Ear
06 = Nose
07 = Mouth,Jaw,Teeth
08 = Throat
09 = Neck
10 = Shoulder
11 = Axilla
12 = Upper Arm
13 = Elbow
14 = Forearm
15 = Wrist
16 = Hand
17 = Digit
18 = Cervical spine
19 = Thoracic
20 = Lumbosacral spine
21 = Pelvis
22 = Chest
23 = Breast
24 = Abdomen
25 = Back/buttocks
26 = Ano/rectal
27 = Genitalia
28 = Hip
29 = Groin
30 = Thigh
31 = Knee
32 = Lower leg
33 = Ankle
34 = Foot
35 = Toe
36 = Multiple site
",NA,NA,NA
"DIAGS_NN","Diagnosis Code - Anatomical Side","String(1)","The A&E diagnosis anatomical side (an indication of the side of the human body). This field contains a description of the diagnosis anatomical side.","L = Left 
R = Right 
B = Bilateral 
8 = Not applicable",NA,NA,NA
"DIAGSCHEME","Diagnosis Scheme in Use","String(3)","The coding scheme basis of the diagnosis (DIAG) fields","01 = Accident & Emergency diagnosis 
02 = ICD-10 
04 = Read coded clinical terms version 2 
Null = Not known / not applicable",NA,NA,NA
"DOB","Date of Birth","Date(YYYY-MM-DD)","The patient's date of birth.","YYYY-MM-DD = DOB
1800-01-01 = Null date submitted
1801-01-01 = Invalid date submitted","RULE_0020",NA,NA
"DOMPROC","HRG Dominant Procedure (Provider Derived)","String(4)","The procedure that the Healthcare Resource Group (HRG) grouping algorithm has identified as having the greatest effect upon the resources consumed by a patient. This does not apply where no procedure was carried out

Different coding schemes can be used for codes that appear in this field. See the field PROCSCHEME for the coding scheme in use

This code was locally generated by the provider and is not validated in HES, therefore invalid codes can appear in this field","max 4an = Dominant procedure code",NA,NA,NA
"EPIKEY","APC Record Identifier","String(20)","This field is present on A&E and APC linked records only. Linkage between these two datasets enables patient pathways to be followed and provides additional information beyond what is available from the standalone datasets. 

EPIKEY represents the record identifier of the APC episode that the A&E attendance has been linked to.

The methodology used to link A&E and APC records is currently under review","12n (2003-04 to 2020-21); 20n (2021-22 onwards) = Record identifier 
",NA,NA,NA
"ETHNOS","Ethnic Category","String(1)","The ethnicity of the patient, as specified by the patient. This field uses the ethnic data categories as defined in the 2001 census.

Note that ETHNOS is very poorly populated on activity prior to the 2011-12 data year.","A = British (White) 
B = Irish (White) 
C = Any other White background 
D = White and Black Caribbean (Mixed) 
E = White and Black African (Mixed) 
F = White and Asian (Mixed) 
G = Any other Mixed background 
H = Indian (Asian or Asian British) 
J = Pakistani (Asian or Asian British)
K = Bangladeshi (Asian or Asian British) 
L = Any other Asian background 
M = Caribbean (Black or Black British) 
N = African (Black or Black British) 
P = Any other Black background 
R = Chinese (other ethnic group) 
S = Any other ethnic group 
Z = Not stated
X = Not known (prior to 2013)
99 = Not known (2013 onwards)","RULE_0010",NA,NA
"ETHRAW","Ethnic Category (Raw)","String(1)","Ethnic category is supplied as a two-character field.  ETHRAW contains the raw left-hand character.  The right hand character is optional for use locally. A copy of the raw data found in the right hand character is held in ETHRAWL.

This field represents the raw code as submitted by the provider; it can contain codes that do not represent valid ethnic category codes. See the field ETHNOS for a validated and cleaned version of this field.","A = British (White) 
B = Irish (White) 
C = Any other White background 
D = White and Black Caribbean (Mixed) 
E = White and Black African (Mixed) 
F = White and Asian (Mixed) 
G = Any other Mixed background 
H = Indian (Asian or Asian British) 
J = Pakistani (Asian or Asian British)
K = Bangladeshi (Asian or Asian British) 
L = Any other Asian background 
M = Caribbean (Black or Black British) 
N = African (Black or Black British) 
P = Any other Black background 
R = Chinese (other ethnic group) 
S = Any other ethnic group 
Z = Not stated
X = Not known (prior to 2013)
9 = Not known (2013 onwards)",NA,NA,NA
"ETHRAWL","Ethnic Category (Local Code)","String(1)","Ethnic category is supplied as a two-character field. This field contains the right-hand character, which is optional and defined locally.  The left-hand character should contain the national code, and can be found in the field ETHNOS.","1an = Ethnic character, local code",NA,NA,"Y"
"FYEAR","Financial Year","String(4)","The financial year of the data. This is represented as the last two digits of the earlier year followed by the last two digits of the later year (e.g. 2008-09 is represented in this field as 0809)","4n = Financial year",NA,NA,NA
"GORTREAT","Government Office Region of Treatment","String(1)","The Government Office Region (GOR) of treatment, derived from the provider code (PROCODE). It indicates the GOR area within which the treatment took place.","A = North East
B = North West
D = Yorkshire and The Humber
E = East Midlands
F = West Midlands
G = East of England
H = London
J = South East
K = South West
Y = Not known",NA,"RULE_1145",NA
"GPPRAC","GP Practice Code","String(12)","The general medical practice of the patient's registered GP.","6an = GP practice code (English GP's with codes commencing A-P only)
V81997 = Patient not currently registered at a GP practice, but is eligible to be registered should they wish to
V81998 = Not applicable
V81999 = Not known (submitted value) - where it is not possible to determine a patient's registered GP practice but it is known that they should have one, or where it is impossible to determine whether the patient should or should not have a registed practice (e.g. the patient cannot communicate and is unidentified)
& = Not known (derived in HES where no code was submitted)","RULE_0440",NA,NA
"GPPRPCT","Primary Care Trust of GP Practice","String(8)","The Primary Care Trust (PCT) area in which the patient's GP practice is registered. It is derived from the GP practice code (GPPRAC).

In 2013 following a reorganisation of health areas, PCTs were abolished. This field continued to be derived after this date as a 'frozen' geography.","5nn = PCT 
Taa = Care Trust 
59898 = Not applicable (non-England) 
59999 = Unknown",NA,"RULE_1125",NA
"GPPRSTHA","Strategic Health Authority of GP Practice","String(8)","The Strategic Health Authority (SHA) area in which the patient’s GP practice is registered. It is derived from the GP practice code (GPPRAC).

In 2013 following a reorganisation of health areas, SHAs were abolished. This field continued to be derived after this date as a 'frozen' geography.","3an = Strategic Health Authority
S = Scotland
U = England - not otherwise specified
W = Wales
X = Foreign (including Isle of Man and Channel Islands)
Y = Unknown
Z = Northern Ireland",NA,"RULE_1125",NA
"GRIDLINK","Ordnance Survey Grid Reference","String(11)","The Ordnance Survey postcode grid reference of the patient's residence, derived in HES from the patient's postcode (HOMEADD).","9n = Ordnance Survey grid reference (4 digits eastings, 5 digits northings)",NA,"RULE_1200",NA
"HATREAT","Health Authority of Treatment","String(3)","The Health Authority (HA) area where the treatment took place, derived from the provider code (PROCODE). Note: for NHS providers, care provided at subsidiary sites will be attributed to the main trust location.

In 2002 following a reorganisation of health areas, HAs were replaced by Strategic Health Authorities (SHAs). This field continued to be derived after this date as a ‘frozen’ geography.","3a = Health Authority area of treatment  
Y = Unknown",NA,NA,NA
"HESID","Patient identifier - HES generated","Number","A unique identifier for each individual patient. It was generated by matching records for the same patient using a combination of NHS Number, Local Patient Identifier, Postcode of Patient, Current Gender of Patient and Date of Birth. A pseudonymised version of this field was made available in the field PSEUDO_HESID.

This field was replaced with the PERSON_ID field in 2021-22. HESID is no longer available in HES.","n = HESID",NA,NA,NA
"HOMEADD","Postcode of Patient","String(8)","The patient's home postcode. If a patient is away from home for long periods, such as in a university hall of residence, the postcode of their typical residence is used instead. If the postcode contains fewer than eight characters, spaces are placed between the two parts of the postcode so that the second part always starts at the sixth character position.","8an = Postcode
ZZ99 3CZ = England, GB, UK (not otherwise stated)
ZZ99 3VZ = No fixed abode
ZZ99 3WZ = Not known + sundry categories
ZZ99 2WZ = Northern Ireland
ZZ99 1WZ = Scotland
ZZ99 3GZ = Wales
ZZ99 NNN = Other pseudo codes used for patients normally resident abroad (where NNN is the country code listed in the NHS postcode directory)",NA,"RULE_0325",NA
"HRGNHS","Healthcare Resource Group - Provider Derived","String(3)","The NHS-generated Healthcare Resource Group (HRG) code submitted to SUS by the provider. 

On activity up to the end of March 2009, HRG codes were generated and submitted by the provider and can be found in this field. From April 2009, HRG codes were generated automatically on submission to SUS. The SUS generated HRG can be found in the field SUSHRG. For HRG analysis on activity from April 2009 onwards, the SUSHRG field should be used instead of this one.","3an = Provider derived HRG","None",NA,NA
"HRGNHSVN","Version Number of HRGNHS","String(3)","The version number of the NHS-generated HRG code (HRGNHS).","3an = The version number of the trust derived HRG code",NA,NA,NA
"IMD04","IMD Index of Multiple Deprivation","Decimal","The Index of Multiple Deprivation (IMD) is a measure of multiple deprivation at Super Output Area level. The IMD has seven domains. The English Indices of Deprivation provide a relative measure of deprivation at small area level across England. Areas are ranked from least deprived to most deprived on seven different dimensions of deprivation and an overall composite measure of multiple deprivation. The domains used in the Indices of Deprivation are: income deprivation; employment deprivation; health deprivation and disability; education deprivation; crime deprivation; barriers to housing and services deprivation; and living environment deprivation. Each of these domains has its own scores and ranks, allowing users to focus on specific aspects of deprivation. In addition, two supplementary indices measure income deprivation amongst children - the Income Deprivation Affecting Children Index (IDACI) - and older people - the Income Deprivation Affecting Older People Index (IDAOPI).

This field uses IMD version 2004 on activity up to and including 2006-07; IMD version 2007 on activity between 2007-08 and 2009-10; IMD version 2010 on activity from 2010-11 to present.","nn.nn = IMD score",NA,NA,NA
