Chapter_number,Chapter_description,Short_code_three,Cause_description
1,Certain infectious and parasitic diseases,B23,Human immunodeficiency virus [HIV] disease resulting in other conditions
1,Certain infectious and parasitic diseases,B24,Unspecified human immunodeficiency virus [HIV] disease
1,Certain infectious and parasitic diseases,B25,Cytomegaloviral disease
1,Certain infectious and parasitic diseases,B26,Mumps
1,Certain infectious and parasitic diseases,B27,Infectious mononucleosis
1,Certain infectious and parasitic diseases,B30,Viral conjunctivitis
1,Certain infectious and parasitic diseases,B33,"Other viral diseases, not elsewhere classified"
1,Certain infectious and parasitic diseases,B34,Viral infection of unspecified site
1,Certain infectious and parasitic diseases,B35,Dermatophytosis
1,Certain infectious and parasitic diseases,B36,Other superficial mycoses
1,Certain infectious and parasitic diseases,B37,Candidiasis
1,Certain infectious and parasitic diseases,B38,Coccidioidomycosis
1,Certain infectious and parasitic diseases,B39,Histoplasmosis
1,Certain infectious and parasitic diseases,B40,Blastomycosis
1,Certain infectious and parasitic diseases,B41,Paracoccidioidomycosis
1,Certain infectious and parasitic diseases,B42,Sporotrichosis
1,Certain infectious and parasitic diseases,B43,Chromomycosis and phaeomycotic abscess
1,Certain infectious and parasitic diseases,B44,Aspergillosis
1,Certain infectious and parasitic diseases,B45,Cryptococcosis
1,Certain infectious and parasitic diseases,B46,Zygomycosis
1,Certain infectious and parasitic diseases,B47,Mycetoma
1,Certain infectious and parasitic diseases,B48,"Other mycoses, not elsewhere classified"
1,Certain infectious and parasitic diseases,B49,Unspecified mycosis
1,Certain infectious and parasitic diseases,B50,Plasmodium falciparum malaria
1,Certain infectious and parasitic diseases,B51,Plasmodium vivax malaria
1,Certain infectious and parasitic diseases,B52,Plasmodium malariae malaria
1,Certain infectious and parasitic diseases,B53,Other parasitologically confirmed malaria
1,Certain infectious and parasitic diseases,B54,Unspecified malaria
1,Certain infectious and parasitic diseases,B55,Leishmaniasis
1,Certain infectious and parasitic diseases,B56,African trypanosomiasis
1,Certain infectious and parasitic diseases,B57,Chagas disease
1,Certain infectious and parasitic diseases,B58,Toxoplasmosis
1,Certain infectious and parasitic diseases,B59,Pneumocystosis
1,Certain infectious and parasitic diseases,B60,"Other protozoal diseases, not elsewhere classified"
1,Certain infectious and parasitic diseases,B64,Unspecified protozoal disease
1,Certain infectious and parasitic diseases,B65,Schistosomiasis [bilharziasis]
1,Certain infectious and parasitic diseases,B66,Other fluke infections
1,Certain infectious and parasitic diseases,B67,Echinococcosis
1,Certain infectious and parasitic diseases,B68,Taeniasis
1,Certain infectious and parasitic diseases,B69,Cysticercosis
1,Certain infectious and parasitic diseases,B70,Diphyllobothriasis and sparganosis
1,Certain infectious and parasitic diseases,B71,Other cestode infections
1,Certain infectious and parasitic diseases,B72,Dracunculiasis
1,Certain infectious and parasitic diseases,B73,Onchocerciasis
1,Certain infectious and parasitic diseases,B74,Filariasis
1,Certain infectious and parasitic diseases,B75,Trichinellosis
1,Certain infectious and parasitic diseases,B76,Hookworm diseases
1,Certain infectious and parasitic diseases,B77,Ascariasis
1,Certain infectious and parasitic diseases,B78,Strongyloidiasis
1,Certain infectious and parasitic diseases,B79,Trichuriasis
1,Certain infectious and parasitic diseases,B80,Enterobiasis
1,Certain infectious and parasitic diseases,B81,"Other intestinal helminthiases, not elsewhere classified"
1,Certain infectious and parasitic diseases,B82,Unspecified intestinal parasitism
1,Certain infectious and parasitic diseases,B83,Other helminthiases
1,Certain infectious and parasitic diseases,B85,Pediculosis and phthiriasis
1,Certain infectious and parasitic diseases,B86,Scabies
1,Certain infectious and parasitic diseases,B87,Myiasis
1,Certain infectious and parasitic diseases,B88,Other infestations
1,Certain infectious and parasitic diseases,B89,Unspecified parasitic disease
1,Certain infectious and parasitic diseases,B90,Sequelae of tuberculosis
1,Certain infectious and parasitic diseases,B91,Sequelae of poliomyelitis
1,Certain infectious and parasitic diseases,B92,Sequelae of leprosy
1,Certain infectious and parasitic diseases,B94,Sequelae of other and unspecified infectious and parasitic diseases
1,Certain infectious and parasitic diseases,B95,Streptococcus and staphylococcus as the cause of diseases classified to other chapters
1,Certain infectious and parasitic diseases,B96,Other specified bacterial agents as the cause of diseases classified to other chapters
1,Certain infectious and parasitic diseases,B97,Viral agents as the cause of diseases classified to other chapters
1,Certain infectious and parasitic diseases,B98,Other specified infectious agents as the cause of diseases classified to other chapters
1,Certain infectious and parasitic diseases,B99,Other and unspecified infectious diseases
2,Neoplasms,C00,Malignant neoplasm of lip
2,Neoplasms,C01,Malignant neoplasm of base of tongue
2,Neoplasms,C02,Malignant neoplasm of other and unspecified parts of tongue
2,Neoplasms,C03,Malignant neoplasm of gum
2,Neoplasms,C04,Malignant neoplasm of floor of mouth
2,Neoplasms,C05,Malignant neoplasm of palate
2,Neoplasms,C06,Malignant neoplasm of other and unspecified parts of mouth
2,Neoplasms,C07,Malignant neoplasm of parotid gland
2,Neoplasms,C08,Malignant neoplasm of other and unspecified major salivary glands
2,Neoplasms,C09,Malignant neoplasm of tonsil
2,Neoplasms,C10,Malignant neoplasm of oropharynx
2,Neoplasms,C11,Malignant neoplasm of nasopharynx
2,Neoplasms,C12,Malignant neoplasm of piriform sinus
2,Neoplasms,C13,Malignant neoplasm of hypopharynx
2,Neoplasms,C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
2,Neoplasms,C15,Malignant neoplasm of oesophagus
2,Neoplasms,C16,Malignant neoplasm of stomach
2,Neoplasms,C17,Malignant neoplasm of small intestine
2,Neoplasms,C18,Malignant neoplasm of colon
2,Neoplasms,C19,Malignant neoplasm of rectosigmoid junction
2,Neoplasms,C20,Malignant neoplasm of rectum
2,Neoplasms,C21,Malignant neoplasm of anus and anal canal
2,Neoplasms,C22,Malignant neoplasm of liver and intrahepatic bile ducts
2,Neoplasms,C23,Malignant neoplasm of gallbladder
2,Neoplasms,C24,Malignant neoplasm of other and unspecified parts of biliary tract
2,Neoplasms,C25,Malignant neoplasm of pancreas
2,Neoplasms,C26,Malignant neoplasm of other and ill-defined digestive organs
2,Neoplasms,C30,Malignant neoplasm of nasal cavity and middle ear
2,Neoplasms,C31,Malignant neoplasm of accessory sinuses
2,Neoplasms,C32,Malignant neoplasm of larynx
2,Neoplasms,C33,Malignant neoplasm of trachea
2,Neoplasms,C34,Malignant neoplasm of bronchus and lung
2,Neoplasms,C37,Malignant neoplasm of thymus
2,Neoplasms,C38,"Malignant neoplasm of heart, mediastinum and pleura"
2,Neoplasms,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
2,Neoplasms,C40,Malignant neoplasm of bone and articular cartilage of limbs
2,Neoplasms,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
2,Neoplasms,C43,Malignant melanoma of skin
2,Neoplasms,C44,Other malignant neoplasms of skin
2,Neoplasms,C45,Mesothelioma
2,Neoplasms,C46,Kaposi sarcoma
2,Neoplasms,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
2,Neoplasms,C48,Malignant neoplasm of retroperitoneum and peritoneum
2,Neoplasms,C49,Malignant neoplasm of other connective and soft tissue
2,Neoplasms,C50,Malignant neoplasm of breast
2,Neoplasms,C51,Malignant neoplasm of vulva
2,Neoplasms,C52,Malignant neoplasm of vagina
2,Neoplasms,C53,Malignant neoplasm of cervix uteri
2,Neoplasms,C54,Malignant neoplasm of corpus uteri
2,Neoplasms,C55,"Malignant neoplasm of uterus, part unspecified"
2,Neoplasms,C56,Malignant neoplasm of ovary
2,Neoplasms,C57,Malignant neoplasm of other and unspecified female genital organs
2,Neoplasms,C58,Malignant neoplasm of placenta
2,Neoplasms,C60,Malignant neoplasm of penis
2,Neoplasms,C61,Malignant neoplasm of prostate
2,Neoplasms,C62,Malignant neoplasm of testis
2,Neoplasms,C63,Malignant neoplasm of other and unspecified male genital organs
2,Neoplasms,C64,"Malignant neoplasm of kidney, except renal pelvis"
2,Neoplasms,C65,Malignant neoplasm of renal pelvis
2,Neoplasms,C66,Malignant neoplasm of ureter
2,Neoplasms,C67,Malignant neoplasm of bladder
2,Neoplasms,C68,Malignant neoplasm of other and unspecified urinary organs
2,Neoplasms,C69,Malignant neoplasm of eye and adnexa
2,Neoplasms,C70,Malignant neoplasm of meninges
2,Neoplasms,C71,Malignant neoplasm of brain
2,Neoplasms,C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
2,Neoplasms,C73,Malignant neoplasm of thyroid gland
2,Neoplasms,C74,Malignant neoplasm of adrenal gland
2,Neoplasms,C75,Malignant neoplasm of other endocrine glands and related structures
2,Neoplasms,C76,Malignant neoplasm of other and ill-defined sites
2,Neoplasms,C77,Secondary and unspecified malignant neoplasm of lymph nodes
2,Neoplasms,C78,Secondary malignant neoplasm of respiratory and digestive organs
2,Neoplasms,C79,Secondary malignant neoplasm of other and unspecified sites
2,Neoplasms,C80,Malignant neoplasm without specification of site
2,Neoplasms,C81,Hodgkin lymphoma
2,Neoplasms,C82,Follicular lymphoma
2,Neoplasms,C83,Non-follicular lymphoma
2,Neoplasms,C84,Mature T/NK-cell lymphomas
2,Neoplasms,C85,Other and unspecified types of non-Hodgkin lymphoma
2,Neoplasms,C86,Other specified types of T/NK-cell lymphoma
2,Neoplasms,C88,Malignant immunoproliferative diseases
2,Neoplasms,C90,Multiple myeloma and malignant plasma cell neoplasms
2,Neoplasms,C91,Lymphoid leukaemia
2,Neoplasms,C92,Myeloid leukaemia
2,Neoplasms,C93,Monocytic leukaemia
2,Neoplasms,C94,Other leukaemias of specified cell type
2,Neoplasms,C95,Leukaemia of unspecified cell type
2,Neoplasms,C96,"Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue"
2,Neoplasms,C97,Malignant neoplasms of independent (primary) multiple sites
2,Neoplasms,D00,"Carcinoma in situ of oral cavity, oesophagus and stomach"
2,Neoplasms,D01,Carcinoma in situ of other and unspecified digestive organs
2,Neoplasms,D02,Carcinoma in situ of middle ear and respiratory system
2,Neoplasms,D03,Melanoma in situ
2,Neoplasms,D04,Carcinoma in situ of skin
2,Neoplasms,D05,Carcinoma in situ of breast
2,Neoplasms,D06,Carcinoma in situ of cervix uteri
2,Neoplasms,D07,Carcinoma in situ of other and unspecified genital organs
2,Neoplasms,D09,Carcinoma in situ of other and unspecified sites
2,Neoplasms,D10,Benign neoplasm of mouth and pharynx
2,Neoplasms,D11,Benign neoplasm of major salivary glands
2,Neoplasms,D12,"Benign neoplasm of colon, rectum, anus and anal canal"
2,Neoplasms,D13,Benign neoplasm of other and ill-defined parts of digestive system
2,Neoplasms,D14,Benign neoplasm of middle ear and respiratory system
2,Neoplasms,D15,Benign neoplasm of other and unspecified intrathoracic organs
2,Neoplasms,D16,Benign neoplasm of bone and articular cartilage
2,Neoplasms,D17,Benign lipomatous neoplasm
2,Neoplasms,D18,"Haemangioma and lymphangioma, any site"
2,Neoplasms,D19,Benign neoplasm of mesothelial tissue
2,Neoplasms,D20,Benign neoplasm of soft tissue of retroperitoneum and peritoneum
2,Neoplasms,D21,Other benign neoplasms of connective and other soft tissue
2,Neoplasms,D22,Melanocytic naevi
2,Neoplasms,D23,Other benign neoplasms of skin
2,Neoplasms,D24,Benign neoplasm of breast
2,Neoplasms,D25,Leiomyoma of uterus
2,Neoplasms,D26,Other benign neoplasms of uterus
2,Neoplasms,D27,Benign neoplasm of ovary
2,Neoplasms,D28,Benign neoplasm of other and unspecified female genital organs
2,Neoplasms,D29,Benign neoplasm of male genital organs
2,Neoplasms,D30,Benign neoplasm of urinary organs
2,Neoplasms,D31,Benign neoplasm of eye and adnexa
2,Neoplasms,D32,Benign neoplasm of meninges
2,Neoplasms,D33,Benign neoplasm of brain and other parts of central nervous system
2,Neoplasms,D34,Benign neoplasm of thyroid gland
2,Neoplasms,D35,Benign neoplasm of other and unspecified endocrine glands
2,Neoplasms,D36,Benign neoplasm of other and unspecified sites
2,Neoplasms,D37,Neoplasm of uncertain or unknown behaviour of oral cavity and digestive organs
2,Neoplasms,D38,Neoplasm of uncertain or unknown behaviour of middle ear and respiratory and intrathoracic organs
2,Neoplasms,D39,Neoplasm of uncertain or unknown behaviour of female genital organs
2,Neoplasms,D40,Neoplasm of uncertain or unknown behaviour of male genital organs
2,Neoplasms,D41,Neoplasm of uncertain or unknown behaviour of urinary organs
2,Neoplasms,D42,Neoplasm of uncertain or unknown behaviour of meninges
2,Neoplasms,D43,Neoplasm of uncertain or unknown behaviour of brain and central nervous system
2,Neoplasms,D44,Neoplasm of uncertain or unknown behaviour of endocrine glands
2,Neoplasms,D45,Polycythaemia vera
2,Neoplasms,D46,Myelodysplastic syndromes
2,Neoplasms,D47,"Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue"
2,Neoplasms,D48,Neoplasm of uncertain or unknown behaviour of other and unspecified sites
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D50,Iron deficiency anaemia
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D51,Vitamin B₁₂ deficiency anaemia
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D52,Folate deficiency anaemia
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D53,Other nutritional anaemias
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55,Anaemia due to enzyme disorders
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D56,Thalassaemia
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D57,Sickle-cell disorders
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D58,Other hereditary haemolytic anaemias
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D59,Acquired haemolytic anaemia
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60,Acquired pure red cell aplasia [erythroblastopenia]
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D61,Other aplastic anaemias
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D62,Acute posthaemorrhagic anaemia
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D63,Anaemia in chronic diseases classified elsewhere
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D64,Other anaemias
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65,Disseminated intravascular coagulation [defibrination syndrome]
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D66,Hereditary factor VIII deficiency
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D67,Hereditary factor IX deficiency
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D68,Other coagulation defects
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D69,Purpura and other haemorrhagic conditions
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70,Agranulocytosis
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D71,Functional disorders of polymorphonuclear neutrophils
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D72,Other disorders of white blood cells
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D73,Diseases of spleen
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D74,Methaemoglobinaemia
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D75,Other diseases of blood and blood-forming organs
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80,Immunodeficiency with predominantly antibody defects
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D81,Combined immunodeficiencies
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D82,Immunodeficiency associated with other major defects
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D83,Common variable immunodeficiency
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D84,Other immunodeficiencies
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D86,Sarcoidosis
3,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D89,"Other disorders involving the immune mechanism, not elsewhere classified"
4,"Endocrine, nutritional and metabolic diseases",E00,Congenital iodine-deficiency syndrome
4,"Endocrine, nutritional and metabolic diseases",E01,Iodine-deficiency-related thyroid disorders and allied conditions
4,"Endocrine, nutritional and metabolic diseases",E02,Subclinical iodine-deficiency hypothyroidism
4,"Endocrine, nutritional and metabolic diseases",E03,Other hypothyroidism
4,"Endocrine, nutritional and metabolic diseases",E04,Other nontoxic goitre
4,"Endocrine, nutritional and metabolic diseases",E05,Thyrotoxicosis [hyperthyroidism]
4,"Endocrine, nutritional and metabolic diseases",E06,Thyroiditis
4,"Endocrine, nutritional and metabolic diseases",E07,Other disorders of thyroid
4,"Endocrine, nutritional and metabolic diseases",E10,Type 1 diabetes mellitus
4,"Endocrine, nutritional and metabolic diseases",E11,Type 2 diabetes mellitus
4,"Endocrine, nutritional and metabolic diseases",E12,Malnutrition-related diabetes mellitus
4,"Endocrine, nutritional and metabolic diseases",E13,Other specified diabetes mellitus
4,"Endocrine, nutritional and metabolic diseases",E14,Unspecified diabetes mellitus
4,"Endocrine, nutritional and metabolic diseases",E15,Nondiabetic hypoglycaemic coma
4,"Endocrine, nutritional and metabolic diseases",E16,Other disorders of pancreatic internal secretion
4,"Endocrine, nutritional and metabolic diseases",E20,Hypoparathyroidism
4,"Endocrine, nutritional and metabolic diseases",E21,Hyperparathyroidism and other disorders of parathyroid gland
4,"Endocrine, nutritional and metabolic diseases",E22,Hyperfunction of pituitary gland
4,"Endocrine, nutritional and metabolic diseases",E23,Hypofunction and other disorders of pituitary gland
4,"Endocrine, nutritional and metabolic diseases",E24,Cushing syndrome
4,"Endocrine, nutritional and metabolic diseases",E25,Adrenogenital disorders
4,"Endocrine, nutritional and metabolic diseases",E26,Hyperaldosteronism
4,"Endocrine, nutritional and metabolic diseases",E27,Other disorders of adrenal gland
4,"Endocrine, nutritional and metabolic diseases",E28,Ovarian dysfunction
4,"Endocrine, nutritional and metabolic diseases",E29,Testicular dysfunction
4,"Endocrine, nutritional and metabolic diseases",E30,"Disorders of puberty, not elsewhere classified"
4,"Endocrine, nutritional and metabolic diseases",E31,Polyglandular dysfunction
4,"Endocrine, nutritional and metabolic diseases",E32,Diseases of thymus
4,"Endocrine, nutritional and metabolic diseases",E34,Other endocrine disorders
4,"Endocrine, nutritional and metabolic diseases",E35,Disorders of endocrine glands in diseases classified elsewhere
4,"Endocrine, nutritional and metabolic diseases",E40,Kwashiorkor
4,"Endocrine, nutritional and metabolic diseases",E41,Nutritional marasmus
4,"Endocrine, nutritional and metabolic diseases",E42,Marasmic kwashiorkor
4,"Endocrine, nutritional and metabolic diseases",E43,Unspecified severe protein-energy malnutrition
4,"Endocrine, nutritional and metabolic diseases",E44,Protein-energy malnutrition of moderate and mild degree
4,"Endocrine, nutritional and metabolic diseases",E45,Retarded development following protein-energy malnutrition
4,"Endocrine, nutritional and metabolic diseases",E46,Unspecified protein-energy malnutrition
4,"Endocrine, nutritional and metabolic diseases",E50,Vitamin A deficiency
4,"Endocrine, nutritional and metabolic diseases",E51,Thiamine deficiency
4,"Endocrine, nutritional and metabolic diseases",E52,Niacin deficiency [pellagra]
4,"Endocrine, nutritional and metabolic diseases",E53,Deficiency of other B group vitamins
4,"Endocrine, nutritional and metabolic diseases",E54,Ascorbic acid deficiency
4,"Endocrine, nutritional and metabolic diseases",E55,Vitamin D deficiency
4,"Endocrine, nutritional and metabolic diseases",E56,Other vitamin deficiencies
4,"Endocrine, nutritional and metabolic diseases",E58,Dietary calcium deficiency
4,"Endocrine, nutritional and metabolic diseases",E59,Dietary selenium deficiency
4,"Endocrine, nutritional and metabolic diseases",E60,Dietary zinc deficiency
4,"Endocrine, nutritional and metabolic diseases",E61,Deficiency of other nutrient elements
4,"Endocrine, nutritional and metabolic diseases",E63,Other nutritional deficiencies
4,"Endocrine, nutritional and metabolic diseases",E64,Sequelae of malnutrition and other nutritional deficiencies
4,"Endocrine, nutritional and metabolic diseases",E65,Localized adiposity
4,"Endocrine, nutritional and metabolic diseases",E66,Obesity
4,"Endocrine, nutritional and metabolic diseases",E67,Other hyperalimentation
4,"Endocrine, nutritional and metabolic diseases",E68,Sequelae of hyperalimentation
4,"Endocrine, nutritional and metabolic diseases",E70,Disorders of aromatic amino-acid metabolism
4,"Endocrine, nutritional and metabolic diseases",E71,Disorders of branched-chain amino-acid metabolism and fatty-acid metabolism
4,"Endocrine, nutritional and metabolic diseases",E72,Other disorders of amino-acid metabolism
4,"Endocrine, nutritional and metabolic diseases",E73,Lactose intolerance
4,"Endocrine, nutritional and metabolic diseases",E74,Other disorders of carbohydrate metabolism
