Group,Condition_name,ICD10_Code,Sex,Age_group,Fraction
Wholly attributable,Alcoholic myopathy,G721,Female,35-44 years,1
Wholly attributable,Alcoholic myopathy,G721,Female,45-54 years,1
Wholly attributable,Alcoholic myopathy,G721,Female,55-64 years,1
Wholly attributable,Alcoholic myopathy,G721,Female,65-74 years,1
Wholly attributable,Alcoholic myopathy,G721,Female,75-84 years,1
Wholly attributable,Alcoholic myopathy,G721,Female,85 and over,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Male,16-24 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Male,25-34 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Male,35-44 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Male,45-54 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Male,55-64 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Male,65-74 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Male,75-84 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Male,85 and over,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Female,16-24 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Female,25-34 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Female,35-44 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Female,45-54 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Female,55-64 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Female,65-74 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Female,75-84 years,1
Wholly attributable,Alcoholic cardiomyopathy,I426,Female,85 and over,1
Wholly attributable,Alcoholic gastritis,K292,Male,16-24 years,1
Wholly attributable,Alcoholic gastritis,K292,Male,25-34 years,1
Wholly attributable,Alcoholic gastritis,K292,Male,35-44 years,1
Wholly attributable,Alcoholic gastritis,K292,Male,45-54 years,1
Wholly attributable,Alcoholic gastritis,K292,Male,55-64 years,1
Wholly attributable,Alcoholic gastritis,K292,Male,65-74 years,1
Wholly attributable,Alcoholic gastritis,K292,Male,75-84 years,1
Wholly attributable,Alcoholic gastritis,K292,Male,85 and over,1
Wholly attributable,Alcoholic gastritis,K292,Female,16-24 years,1
Wholly attributable,Alcoholic gastritis,K292,Female,25-34 years,1
Wholly attributable,Alcoholic gastritis,K292,Female,35-44 years,1
Wholly attributable,Alcoholic gastritis,K292,Female,45-54 years,1
Wholly attributable,Alcoholic gastritis,K292,Female,55-64 years,1
Wholly attributable,Alcoholic gastritis,K292,Female,65-74 years,1
Wholly attributable,Alcoholic gastritis,K292,Female,75-84 years,1
Wholly attributable,Alcoholic gastritis,K292,Female,85 and over,1
Wholly attributable,Alcoholic liver disease,K70,Male,16-24 years,1
Wholly attributable,Alcoholic liver disease,K70,Male,25-34 years,1
Wholly attributable,Alcoholic liver disease,K70,Male,35-44 years,1
Wholly attributable,Alcoholic liver disease,K70,Male,45-54 years,1
Wholly attributable,Alcoholic liver disease,K70,Male,55-64 years,1
Wholly attributable,Alcoholic liver disease,K70,Male,65-74 years,1
Wholly attributable,Alcoholic liver disease,K70,Male,75-84 years,1
Wholly attributable,Alcoholic liver disease,K70,Male,85 and over,1
Wholly attributable,Alcoholic liver disease,K70,Female,16-24 years,1
Wholly attributable,Alcoholic liver disease,K70,Female,25-34 years,1
Wholly attributable,Alcoholic liver disease,K70,Female,35-44 years,1
Wholly attributable,Alcoholic liver disease,K70,Female,45-54 years,1
Wholly attributable,Alcoholic liver disease,K70,Female,55-64 years,1
Wholly attributable,Alcoholic liver disease,K70,Female,65-74 years,1
Wholly attributable,Alcoholic liver disease,K70,Female,75-84 years,1
Wholly attributable,Alcoholic liver disease,K70,Female,85 and over,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Male,16-24 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Male,25-34 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Male,35-44 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Male,45-54 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Male,55-64 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Male,65-74 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Male,75-84 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Male,85 and over,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Female,16-24 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Female,25-34 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Female,35-44 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Female,45-54 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Female,55-64 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Female,65-74 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Female,75-84 years,1
Wholly attributable,Alcohol-induced acute pancreatitis,K852,Female,85 and over,1
Wholly attributable,Ethanol poisoning,T510,Male,16-24 years,1
Wholly attributable,Ethanol poisoning,T510,Male,25-34 years,1
Wholly attributable,Ethanol poisoning,T510,Male,35-44 years,1
Wholly attributable,Ethanol poisoning,T510,Male,45-54 years,1
Wholly attributable,Ethanol poisoning,T510,Male,55-64 years,1
Wholly attributable,Ethanol poisoning,T510,Male,65-74 years,1
Wholly attributable,Ethanol poisoning,T510,Male,75-84 years,1
Wholly attributable,Ethanol poisoning,T510,Male,85 and over,1
Wholly attributable,Ethanol poisoning,T510,Female,16-24 years,1
Wholly attributable,Ethanol poisoning,T510,Female,25-34 years,1
Wholly attributable,Ethanol poisoning,T510,Female,35-44 years,1
Wholly attributable,Ethanol poisoning,T510,Female,45-54 years,1
Wholly attributable,Ethanol poisoning,T510,Female,55-64 years,1
Wholly attributable,Ethanol poisoning,T510,Female,65-74 years,1
Wholly attributable,Ethanol poisoning,T510,Female,75-84 years,1
Wholly attributable,Ethanol poisoning,T510,Female,85 and over,1
Wholly attributable,Methanol poisoning,T511,Male,16-24 years,1
Wholly attributable,Methanol poisoning,T511,Male,25-34 years,1
Wholly attributable,Methanol poisoning,T511,Male,35-44 years,1
Wholly attributable,Methanol poisoning,T511,Male,45-54 years,1
Wholly attributable,Methanol poisoning,T511,Male,55-64 years,1
Wholly attributable,Methanol poisoning,T511,Male,65-74 years,1
Wholly attributable,Methanol poisoning,T511,Male,75-84 years,1
Wholly attributable,Methanol poisoning,T511,Male,85 and over,1
Wholly attributable,Methanol poisoning,T511,Female,16-24 years,1
Wholly attributable,Methanol poisoning,T511,Female,25-34 years,1
Wholly attributable,Methanol poisoning,T511,Female,35-44 years,1
Wholly attributable,Methanol poisoning,T511,Female,45-54 years,1
Wholly attributable,Methanol poisoning,T511,Female,55-64 years,1
Wholly attributable,Methanol poisoning,T511,Female,65-74 years,1
Wholly attributable,Methanol poisoning,T511,Female,75-84 years,1
Wholly attributable,Methanol poisoning,T511,Female,85 and over,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Male,16-24 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Male,25-34 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Male,35-44 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Male,45-54 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Male,55-64 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Male,65-74 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Male,75-84 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Male,85 and over,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Female,16-24 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Female,25-34 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Female,35-44 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Female,45-54 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Female,55-64 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Female,65-74 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Female,75-84 years,1
Wholly attributable,"Toxic effect of alcohol, unspecified",T519,Female,85 and over,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Male,16-24 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Male,25-34 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Male,35-44 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Male,45-54 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Male,55-64 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Male,65-74 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Male,75-84 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Male,85 and over,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Female,16-24 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Female,25-34 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Female,35-44 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Female,45-54 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Female,55-64 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Female,65-74 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Female,75-84 years,1
Wholly attributable,Accidental poisoning by and exposure to alcohol,X45,Female,85 and over,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Male,16-24 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Male,25-34 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Male,35-44 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Male,45-54 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Male,55-64 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Male,65-74 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Male,75-84 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Male,85 and over,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Female,16-24 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Female,25-34 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Female,35-44 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Female,45-54 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Female,55-64 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Female,65-74 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Female,75-84 years,1
Wholly attributable,Intentional self-poisoning by and exposure to alcohol,X65,Female,85 and over,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Male,16-24 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Male,25-34 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Male,35-44 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Male,45-54 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Male,55-64 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Male,65-74 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Male,75-84 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Male,85 and over,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Female,16-24 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Female,25-34 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Female,35-44 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Female,45-54 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Female,55-64 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Female,65-74 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Female,75-84 years,1
Wholly attributable,"Poisoning by and exposure to alcohol, undetermined intent",Y15,Female,85 and over,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Male,16-24 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Male,25-34 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Male,35-44 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Male,45-54 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Male,55-64 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Male,65-74 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Male,75-84 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Male,85 and over,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Female,16-24 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Female,25-34 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Female,35-44 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Female,45-54 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Female,55-64 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Female,65-74 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Female,75-84 years,1
Wholly attributable,Alcohol-induced chronic pancreatitis,K860,Female,85 and over,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Male,16-24 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Male,25-34 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Male,35-44 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Male,45-54 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Male,55-64 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Male,65-74 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Male,75-84 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Male,85 and over,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Female,16-24 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Female,25-34 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Female,35-44 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Female,45-54 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Female,55-64 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Female,65-74 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Female,75-84 years,1
Wholly attributable,Fetal alcohol syndrome (dysmorphic),Q860,Female,85 and over,1
Wholly attributable,Excess alcohol blood levels,R780,Male,16-24 years,1
Wholly attributable,Excess alcohol blood levels,R780,Male,25-34 years,1
Wholly attributable,Excess alcohol blood levels,R780,Male,35-44 years,1
Wholly attributable,Excess alcohol blood levels,R780,Male,45-54 years,1
Wholly attributable,Excess alcohol blood levels,R780,Male,55-64 years,1
Wholly attributable,Excess alcohol blood levels,R780,Male,65-74 years,1
Wholly attributable,Excess alcohol blood levels,R780,Male,75-84 years,1
Wholly attributable,Excess alcohol blood levels,R780,Male,85 and over,1
Wholly attributable,Excess alcohol blood levels,R780,Female,16-24 years,1
Wholly attributable,Excess alcohol blood levels,R780,Female,25-34 years,1
Wholly attributable,Excess alcohol blood levels,R780,Female,35-44 years,1
Wholly attributable,Excess alcohol blood levels,R780,Female,45-54 years,1
Wholly attributable,Excess alcohol blood levels,R780,Female,55-64 years,1
Wholly attributable,Excess alcohol blood levels,R780,Female,65-74 years,1
Wholly attributable,Excess alcohol blood levels,R780,Female,75-84 years,1
Wholly attributable,Excess alcohol blood levels,R780,Female,85 and over,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Male,16-24 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Male,25-34 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Male,35-44 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Male,45-54 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Male,55-64 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Male,65-74 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Male,75-84 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Male,85 and over,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Female,16-24 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Female,25-34 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Female,35-44 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Female,45-54 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Female,55-64 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Female,65-74 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Female,75-84 years,1
Wholly attributable,Evidence of alcohol involvement determined by blood alcohol level,Y90,Female,85 and over,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Male,16-24 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Male,25-34 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Male,35-44 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Male,45-54 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Male,55-64 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Male,65-74 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Male,75-84 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Male,85 and over,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Female,16-24 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Female,25-34 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Female,35-44 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Female,45-54 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Female,55-64 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Female,65-74 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Female,75-84 years,1
Wholly attributable,Evidence of alcohol involvement determined by level of intoxication,Y91,Female,85 and over,1
Infectious and parasitic diseases,Tuberculosis,A1%,Male,16-24 years,-0.01
Infectious and parasitic diseases,Tuberculosis,A1%,Female,16-24 years,0.29
Infectious and parasitic diseases,Tuberculosis,A1%,Male,25-34 years,0.11
Infectious and parasitic diseases,Tuberculosis,A1%,Female,25-34 years,0.25
Infectious and parasitic diseases,Tuberculosis,A1%,Male,35-44 years,0.23
Infectious and parasitic diseases,Tuberculosis,A1%,Female,35-44 years,0.27
Infectious and parasitic diseases,Tuberculosis,A1%,Male,45-54 years,0.26
Infectious and parasitic diseases,Tuberculosis,A1%,Female,45-54 years,0.33
Infectious and parasitic diseases,Tuberculosis,A1%,Male,55-64 years,0.33
Infectious and parasitic diseases,Tuberculosis,A1%,Female,55-64 years,0.34
Infectious and parasitic diseases,Tuberculosis,A1%,Male,65-74 years,0.26
Infectious and parasitic diseases,Tuberculosis,A1%,Female,65-74 years,0.37
Infectious and parasitic diseases,Tuberculosis,A1%,Male,75-84 years,0.13
Infectious and parasitic diseases,Tuberculosis,A1%,Female,75-84 years,0.39
Infectious and parasitic diseases,Tuberculosis,A1%,Male,85 and over,-0.11
Infectious and parasitic diseases,Tuberculosis,A1%,Female,85 and over,0.39
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Male,16-24 years,0.34
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Female,16-24 years,0.21
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Male,25-34 years,0.44
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Female,25-34 years,0.24
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Male,35-44 years,0.5
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Female,35-44 years,0.3
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Male,45-54 years,0.51
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Female,45-54 years,0.39
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Male,55-64 years,0.55
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Female,55-64 years,0.36
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Male,65-74 years,0.51
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Female,65-74 years,0.26
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Male,75-84 years,0.43
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Female,75-84 years,0.2
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Male,85 and over,0.31
Malignant neoplasms,"Lip, oral cavity and pharynx",C0%,Female,85 and over,0.11
Malignant neoplasms,"Lip, oral cavity and pharynx",C11,Male,16-24 years,0.34
Malignant neoplasms,"Lip, oral cavity and pharynx",C11,Female,16-24 years,0.21
Malignant neoplasms,"Lip, oral cavity and pharynx",C11,Male,25-34 years,0.44
Malignant neoplasms,"Lip, oral cavity and pharynx",C11,Female,25-34 years,0.24
